48 43 5
33 11 1
50 59 3
18 15 9
64 34 2
2 8 66
21 30 3
65 39 4
41 43 45
30 22 1
11 25 3
17 31 9
42 2 9
13 49 1
36 45 4
0 4 36
13 30 1
42 45 19
52 49 17
17 15 66
30 40 2
9 59 1
8 1 24
5 31 2
14 6 3
3 66 11
11 1 17
62 9 1
35 34 56
56 34 1
8 42 2
16 8 5
28 31 2
43 19 6
66 59 3
43 7 26
14 66 5
49 39 2
5 8 30
8 16 1
6 15 52
46 29 3
43 57 3
40 40 55
43 26 4
5 14 60
13 1 45
22 8 3
17 17 77
56 51 11
33 24 2
41 7 24
41 10 10
52 54 7
43 24 2
13 39 1
33 15 1
41 34 22
50 52 25
40 43 17
26 63 2
3 15 2
13 26 1
26 22 19
49 40 7
34 2 6
19 31 9
39 8 14
3 28 2
35 38 106
3 43 7
33 1 1
52 17 56
29 16 14
59 0 2
13 14 2
36 4 3
52 68 1
30 56 7
31 4 1
19 8 3
14 29 1
3 11 15
1 9 23
31 21 7
68 40 4
15 38 3
14 19 1
41 42 25
14 17 2
61 35 1
2 41 31
2 64 8
36 42 6
45 4 2
33 36 12
41 8 11
38 16 3
29 13 2
14 26 1
5 50 4
61 0 17
27 40 1
55 51 23
35 12 24
50 57 5
40 29 6
13 33 1
20 8 4
64 29 3
50 19 2
11 8 5
29 17 4
66 33 11
23 21 2
60 40 49
57 47 1
12 40 4
21 42 1
6 24 34
38 40 6
64 49 31
1 25 3
27 29 6
48 67 1
30 66 7
65 60 19
36 39 5
21 16 8
46 66 11
57 50 2
10 4 32
20 35 1
61 52 5
20 29 4
56 19 3
61 48 7
25 50 6
49 64 50
7 32 19
44 25 1
0 22 1
7 60 1
15 43 6
53 50 3
67 11 2
65 10 1
37 5 5
18 35 1
62 21 2
20 66 3
36 41 27
43 63 16
34 3 1
59 4 6
47 12 2
44 2 7
0 32 18
30 33 8
27 21 8
42 0 27
62 60 18
25 40 6
34 35 45
3 47 4
29 23 2
40 41 44
20 25 3
24 18 7
8 62 1
40 19 9
68 7 2
30 59 1
32 35 53
46 11 1
30 5 3
18 30 3
2 49 10
28 46 1
0 58 2
10 0 26
49 10 1
19 42 2
20 43 3
1 13 33
11 30 4
52 34 24
63 39 2
4 10 6
46 16 3
21 8 2
4 32 24
2 59 1
1 20 3
44 59 3
13 10 7
37 25 4
9 58 4
46 5 2
9 66 2
39 42 11
59 28 1
58 4 1
55 0 8
14 62 2
20 1 1
43 45 29
23 32 2
25 52 21
53 51 5
59 55 4
67 34 8
61 12 2
46 7 4
41 62 18
30 26 1
6 53 29
41 30 4
66 24 3
44 53 3
36 30 4
6 45 51
14 41 10
63 67 3
44 19 4
17 28 6
6 11 10
56 10 1
34 44 2
5 42 2
58 54 6
12 11 19
59 51 3
3 2 70
33 4 24
41 25 20
59 54 1
39 34 19
44 60 28
47 57 7
19 24 10
12 1 25
25 23 1
63 4 1
26 47 2
1 56 5
29 3 5
2 13 13
43 56 10
52 61 3
2 14 17
66 68 1
26 6 8
9 5 10
25 17 15
23 12 1
61 2 13
21 27 4
52 25 19
15 8 12
50 34 1
4 42 1
64 37 1
6 58 26
57 52 32
28 20 5
53 44 1
1 46 7
4 4 114
1 28 4
60 63 52
35 9 1
47 40 7
10 47 2
66 50 18
32 4 20
11 43 1
17 42 1
6 38 32
34 9 1
43 33 27
36 34 24
38 15 5
36 8 2
64 38 4
42 65 2
20 61 2
3 0 48
0 64 11
30 6 29
8 38 2
15 18 5
17 35 7
7 65 2
32 65 3
37 40 5
64 61 21
29 6 12
