Id Cluster
6 1
0 0
41 3
52 1
43 0
8 1
15 4
2 0
4 1
49 3
40 0
1 0
33 1
17 5
5 0
44 3
32 0
34 0
60 3
66 0
39 0
7 5
35 0
61 3
42 0
64 3
50 5
10 1
63 3
51 1
65 3
62 1
46 1
16 4
20 4
12 1
45 0
21 4
19 4
25 5
3 0
67 0
38 0
22 4
37 0
59 2
53 2
47 1
30 5
36 0
13 0
55 4
11 1
18 4
14 5
29 1
24 0
27 4
9 1
57 4
26 1
56 5
48 3
68 3
58 5
31 5
23 4
28 4
54 1
